iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,excess_mortality,Cases,Deaths,incidence,mortality
OWID_AFR,Africa,2020-02-13,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-14,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-15,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-16,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-17,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-18,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-19,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-20,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-21,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-22,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-23,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-24,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-25,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-26,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-27,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-28,3.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-02-29,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-01,4.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-02,8.0,4.0,0.0,0.0,0.01,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-03,11.0,3.0,0.0,0.0,0.01,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-04,21.0,10.0,0.0,0.0,0.02,0.01,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-05,24.0,3.0,0.0,0.0,0.02,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-06,43.0,19.0,0.0,0.0,0.03,0.01,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-07,43.0,0.0,0.0,0.0,0.03,0.0,,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-08,83.0,40.0,1.0,1.0,0.06,0.03,0.0,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-09,91.0,8.0,1.0,0.0,0.07,0.01,0.0,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-10,104.0,13.0,2.0,1.0,0.08,0.01,0.0,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-11,118.0,14.0,2.0,0.0,0.09,0.01,0.0,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-12,134.0,16.0,3.0,1.0,0.1,0.01,0.0,0.0,,,,,,,,,,1373486472.0,,,,,
OWID_AFR,Africa,2020-03-13,176.0,42.0,6.0,3.0,0.13,0.03,0.0,0.0,,,,,,,,,,1373486472.0,,176.0,6.0,0.13,0.0
OWID_AFR,Africa,2020-03-14,252.0,76.0,7.0,1.0,0.18,0.06,0.0,0.0,,,,,,,,,,1373486472.0,,252.0,7.0,0.18,0.01
OWID_AFR,Africa,2020-03-15,317.0,65.0,8.0,1.0,0.23,0.05,0.01,0.0,,,,,,,,,,1373486472.0,,316.0,8.0,0.23,0.01
OWID_AFR,Africa,2020-03-16,404.0,87.0,8.0,0.0,0.29,0.06,0.01,0.0,,,,,,,,,,1373486472.0,,403.0,8.0,0.29,0.01
OWID_AFR,Africa,2020-03-17,492.0,88.0,11.0,3.0,0.36,0.06,0.01,0.0,,,,,,,,,,1373486472.0,,491.0,11.0,0.36,0.01
OWID_AFR,Africa,2020-03-18,610.0,118.0,17.0,6.0,0.44,0.09,0.01,0.0,,,,,,,,,,1373486472.0,,609.0,17.0,0.44,0.01
OWID_AFR,Africa,2020-03-19,788.0,178.0,20.0,3.0,0.57,0.13,0.02,0.0,,,,,,,,,,1373486472.0,,787.0,20.0,0.57,0.01
OWID_AFR,Africa,2020-03-20,975.0,187.0,26.0,6.0,0.71,0.14,0.02,0.0,,,,,,,,,,1373486472.0,,974.0,26.0,0.71,0.02
OWID_AFR,Africa,2020-03-21,1172.0,197.0,36.0,10.0,0.85,0.14,0.03,0.01,,,,,,,,,,1373486472.0,,1171.0,36.0,0.85,0.03
OWID_AFR,Africa,2020-03-22,1437.0,265.0,48.0,12.0,1.05,0.19,0.04,0.01,,,,,,,,,,1373486472.0,,1436.0,48.0,1.05,0.03
OWID_AFR,Africa,2020-03-23,1818.0,381.0,57.0,9.0,1.32,0.28,0.04,0.01,,,,,,,,,,1373486472.0,,1817.0,57.0,1.32,0.04
OWID_AFR,Africa,2020-03-24,2250.0,432.0,64.0,7.0,1.64,0.32,0.05,0.0,,,,,,,,,,1373486472.0,,2249.0,64.0,1.64,0.05
OWID_AFR,Africa,2020-03-25,2773.0,523.0,73.0,9.0,2.02,0.38,0.05,0.01,,,,,,,,,,1373486472.0,,2772.0,73.0,2.02,0.05
OWID_AFR,Africa,2020-03-26,3326.0,553.0,91.0,18.0,2.42,0.4,0.07,0.01,,,,,,,,,,1373486472.0,,3324.0,91.0,2.42,0.07
OWID_AFR,Africa,2020-03-27,3885.0,559.0,115.0,24.0,2.83,0.41,0.08,0.02,,,,,,,,,,1373486472.0,,3883.0,115.0,2.83,0.08
OWID_AFR,Africa,2020-03-28,4224.0,339.0,134.0,19.0,3.08,0.25,0.1,0.01,,,,,,,,,,1373486472.0,,4222.0,134.0,3.07,0.1
OWID_AFR,Africa,2020-03-29,4785.0,561.0,152.0,18.0,3.48,0.41,0.11,0.01,,,,,,,,,,1373486472.0,,4782.0,152.0,3.48,0.11
OWID_AFR,Africa,2020-03-30,5196.0,411.0,173.0,21.0,3.78,0.3,0.13,0.02,,,,,,,,,,1373486472.0,,5193.0,173.0,3.78,0.13
OWID_AFR,Africa,2020-03-31,5779.0,583.0,200.0,27.0,4.21,0.42,0.15,0.02,,,,,,,,,,1373486472.0,,5775.0,200.0,4.2,0.15
OWID_AFR,Africa,2020-04-01,6378.0,599.0,234.0,34.0,4.64,0.44,0.17,0.02,,,,,,,,,,1373486472.0,,6370.0,234.0,4.64,0.17
OWID_AFR,Africa,2020-04-02,7031.0,653.0,287.0,53.0,5.12,0.48,0.21,0.04,,,,,,,,,,1373486472.0,,7020.0,287.0,5.11,0.21
OWID_AFR,Africa,2020-04-03,7912.0,881.0,331.0,44.0,5.76,0.64,0.24,0.03,,,,,,,,,,1373486472.0,,7891.0,331.0,5.75,0.24
OWID_AFR,Africa,2020-04-04,8589.0,677.0,382.0,51.0,6.25,0.49,0.28,0.04,,,,,,,,,,1373486472.0,,8565.0,382.0,6.24,0.28
OWID_AFR,Africa,2020-04-05,9295.0,706.0,442.0,60.0,6.77,0.51,0.32,0.04,,,,,,,,,,1373486472.0,,9252.0,442.0,6.74,0.32
OWID_AFR,Africa,2020-04-06,9997.0,702.0,487.0,45.0,7.28,0.51,0.36,0.03,,,,,,,,,,1373486472.0,,9954.0,487.0,7.25,0.35
OWID_AFR,Africa,2020-04-07,10632.0,635.0,533.0,46.0,7.74,0.46,0.39,0.03,,,,,,,,,,1373486472.0,,10549.0,532.0,7.68,0.39
OWID_AFR,Africa,2020-04-08,11419.0,787.0,573.0,40.0,8.31,0.57,0.42,0.03,,,,,,,,,,1373486472.0,,11328.0,572.0,8.25,0.42
OWID_AFR,Africa,2020-04-09,12248.0,829.0,627.0,54.0,8.92,0.6,0.46,0.04,,,,,,,,,,1373486472.0,,12144.0,625.0,8.84,0.46
OWID_AFR,Africa,2020-04-10,12905.0,657.0,692.0,65.0,9.4,0.48,0.5,0.05,,,,,,,,,,1373486472.0,,12787.0,690.0,9.31,0.5
OWID_AFR,Africa,2020-04-11,13616.0,711.0,742.0,50.0,9.91,0.52,0.54,0.04,,,,,,,,,,1373486472.0,,13482.0,739.0,9.82,0.54
OWID_AFR,Africa,2020-04-12,14489.0,873.0,788.0,46.0,10.55,0.64,0.57,0.03,,,,,,,,,,1373486472.0,,14313.0,782.0,10.42,0.57
OWID_AFR,Africa,2020-04-13,15256.0,767.0,833.0,45.0,11.11,0.56,0.61,0.03,,,,,,,,,,1373486472.0,,15004.0,826.0,10.92,0.6
OWID_AFR,Africa,2020-04-14,16227.0,971.0,873.0,40.0,11.81,0.71,0.64,0.03,,,,,,,,,,1373486472.0,,15910.0,865.0,11.58,0.63
OWID_AFR,Africa,2020-04-15,17192.0,965.0,910.0,37.0,12.52,0.7,0.66,0.03,,,,,,,,,,1373486472.0,,16788.0,902.0,12.22,0.66
OWID_AFR,Africa,2020-04-16,18360.0,1168.0,965.0,55.0,13.37,0.85,0.7,0.04,,,,,,,,,,1373486472.0,,17868.0,954.0,13.01,0.69
OWID_AFR,Africa,2020-04-17,19763.0,1403.0,1015.0,50.0,14.39,1.02,0.74,0.04,,,,,,,,,,1373486472.0,,19153.0,998.0,13.94,0.73
OWID_AFR,Africa,2020-04-18,21072.0,1309.0,1058.0,43.0,15.34,0.95,0.77,0.03,,,,,,,,,,1373486472.0,,20284.0,1038.0,14.77,0.76
OWID_AFR,Africa,2020-04-19,22271.0,1199.0,1120.0,62.0,16.22,0.87,0.82,0.04,,,,,,,,,,1373486472.0,,21296.0,1094.0,15.51,0.8
OWID_AFR,Africa,2020-04-20,23431.0,1160.0,1159.0,39.0,17.06,0.84,0.84,0.03,,,,,,,,,,1373486472.0,,22259.0,1123.0,16.21,0.82
