location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,incidence,mortality,iso_code,continent,cfr
Afghanistan,39835428.0,54.42,18.6,2.58,1.34,1803.99,597.03,9.59,,,0.5,64.83,0.51,2021-09-14,154180.0,86.0,7171.0,2.0,3870.42,2.16,180.02,0.05,53.9,3.77,AFG,Asia,4.65
Albania,2872934.0,104.87,38.0,13.19,8.64,11803.43,304.2,10.08,7.1,51.2,2.89,78.57,0.8,2021-09-14,158431.0,995.0,2553.0,5.0,55146.06,346.34,888.64,1.74,7826.15,30.98,ALB,Europe,1.61
Algeria,44616626.0,17.35,29.1,6.21,3.86,13913.84,278.36,6.73,0.7,30.4,1.9,76.88,0.75,2021-09-14,200528.0,227.0,5614.0,18.0,4494.47,5.09,125.83,0.4,297.42,18.38,DZA,Africa,2.8
Andorra,77354.0,163.76,,,,,109.14,7.97,29.0,37.8,,83.73,0.87,2021-09-14,15099.0,3.0,130.0,0.0,195193.53,38.78,1680.58,0.0,2262.33,12.93,AND,Europe,0.86
Angola,33933611.0,23.89,16.8,2.4,1.36,5819.5,276.04,3.94,,,,61.15,0.58,2021-09-14,51047.0,309.0,1358.0,13.0,1504.32,9.11,40.02,0.38,189.49,7.6,AGO,Africa,2.66
Antigua and Barbuda,98728.0,231.84,32.1,6.93,4.63,21490.94,191.51,13.17,,,3.8,77.02,0.78,2021-09-14,2304.0,7.0,48.0,0.0,23336.84,70.9,486.18,0.0,9186.86,50.64,ATG,North America,2.08
Argentina,45605823.0,16.18,31.9,11.2,7.44,18933.91,191.03,5.5,16.2,27.7,5.0,76.67,0.84,2021-09-14,5229848.0,3017.0,113816.0,176.0,114675.0,66.15,2495.65,3.86,3184.09,104.7,ARG,South America,2.18
Armenia,2968128.0,102.93,35.7,11.23,7.57,8787.58,341.01,7.11,1.5,52.1,4.2,75.09,0.78,2021-09-14,249803.0,657.0,5034.0,16.0,84161.8,221.35,1696.02,5.39,5136.23,114.21,ARM,Asia,2.02
Australia,25788217.0,3.2,37.9,15.5,10.13,44648.71,107.79,5.07,13.0,16.5,3.84,83.44,0.94,2021-09-14,78544.0,1643.0,1116.0,14.0,3045.73,63.71,43.28,0.54,1509.57,5.82,AUS,Oceania,1.42
Austria,9043072.0,106.75,44.4,19.2,13.75,45436.69,145.18,6.35,28.4,30.9,7.37,81.54,0.92,2021-09-14,713269.0,1696.0,10849.0,9.0,78874.63,187.55,1199.7,1.0,4924.99,10.28,AUT,Europe,1.52
Azerbaijan,10223344.0,119.31,32.4,6.02,3.87,15847.42,559.81,7.11,0.3,42.5,4.7,73.0,0.76,2021-09-14,463326.0,2077.0,6167.0,33.0,45320.4,203.16,603.23,3.23,9324.15,99.18,AZE,Asia,1.33
Bahamas,396914.0,39.5,34.3,9.0,5.2,27717.85,235.95,13.17,3.1,20.4,2.9,73.92,0.81,2021-09-14,19601.0,0.0,463.0,0.0,49383.49,0.0,1166.5,0.0,8717.25,382.95,BHS,North America,2.36
Bahrain,1748295.0,1935.91,32.4,2.37,1.39,43290.7,151.69,16.52,5.8,37.6,2.0,77.29,0.85,2021-09-14,273916.0,81.0,1388.0,0.0,156676.08,46.33,793.92,0.0,1714.24,2.29,BHR,Asia,0.51
Bangladesh,166303494.0,1265.04,27.5,5.1,3.26,3523.98,298.0,8.38,1.0,44.7,0.8,72.59,0.63,2021-09-14,1534440.0,2074.0,27007.0,35.0,9226.75,12.47,162.4,0.21,694.74,17.03,BGD,Asia,1.76
Barbados,287708.0,664.46,39.8,14.95,9.47,16978.07,170.05,13.57,1.9,14.5,5.8,79.19,0.81,2021-09-14,6053.0,69.0,52.0,0.0,21038.69,239.83,180.74,0.0,5310.94,13.9,BRB,North America,0.86
Belarus,9442867.0,46.86,40.3,14.8,9.79,17167.97,443.13,5.18,10.5,46.1,11.0,74.79,0.82,2021-09-14,506591.0,1630.0,3941.0,12.0,53648.01,172.62,417.35,1.27,4796.0,35.69,BLR,Europe,0.78
Belgium,11632334.0,375.56,41.8,18.57,12.85,42658.58,114.9,4.29,25.1,31.4,5.64,81.63,0.93,2021-09-14,1212106.0,1725.0,25477.0,4.0,104201.44,148.29,2190.19,0.34,5350.34,16.33,BEL,Europe,2.1
Belize,404915.0,16.43,25.0,3.85,2.28,7824.36,176.96,17.11,,,1.3,74.62,0.72,2021-09-14,17967.0,200.0,383.0,1.0,44372.28,493.93,945.88,2.47,7705.32,96.32,BLZ,North America,2.13
Benin,12451031.0,99.11,18.8,3.24,1.94,2064.24,235.85,0.99,0.6,12.3,0.5,61.77,0.55,2021-09-14,21450.0,1609.0,146.0,5.0,1722.75,129.23,11.73,0.4,994.7,2.65,BEN,Africa,0.68
Bhutan,779900.0,21.19,28.6,4.88,2.98,8708.6,217.07,9.75,,,1.7,71.78,0.65,2021-09-14,2596.0,0.0,3.0,0.0,3328.63,0.0,3.85,0.0,32.06,0.0,BTN,Asia,0.12
Bolivia,11832936.0,10.2,25.4,6.7,4.39,6885.83,204.3,6.89,,,1.1,71.51,0.72,2021-09-14,495612.0,577.0,18603.0,16.0,41884.11,48.76,1572.14,1.35,1114.18,35.33,BOL,South America,3.75
Bosnia and Herzegovina,3263459.0,68.5,42.5,16.57,10.71,11713.9,329.64,10.08,30.2,47.7,3.5,77.4,0.78,2021-09-14,222927.0,766.0,10099.0,34.0,68310.04,234.72,3094.57,10.42,4857.12,121.96,BIH,Europe,4.53
Botswana,2397240.0,4.04,25.8,3.94,2.24,15807.37,237.37,4.81,5.7,34.4,1.8,69.59,0.74,2021-09-14,165644.0,0.0,2337.0,0.0,69097.8,0.0,974.87,0.0,12049.69,151.84,BWA,Africa,1.41
Brazil,213993441.0,25.04,33.5,8.55,5.06,14103.45,177.96,8.11,10.1,17.9,2.2,75.88,0.76,2021-09-14,21019830.0,13406.0,587797.0,731.0,98226.52,62.65,2746.8,3.42,3064.26,87.57,BRA,South America,2.8
Brunei,441532.0,81.35,32.4,4.59,2.38,71809.25,201.28,12.79,2.0,30.9,2.7,75.86,0.84,2021-09-14,4431.0,108.0,21.0,0.0,10035.51,244.6,47.56,0.0,8398.03,40.77,BRN,Asia,0.47
Bulgaria,6896655.0,65.18,44.7,20.8,13.27,18563.31,424.69,5.81,30.1,44.4,7.45,75.05,0.82,2021-09-14,475299.0,2029.0,19744.0,83.0,68917.32,294.2,2862.84,12.04,6099.33,203.0,BGR,Europe,4.15
Burkina Faso,21497097.0,70.15,17.6,2.41,1.36,1703.1,269.05,2.42,1.6,23.9,0.4,61.58,0.45,2021-09-14,13959.0,9.0,171.0,0.0,649.34,0.42,7.96,0.0,13.21,0.05,BFA,Africa,1.23
Burundi,12255429.0,423.06,17.5,2.56,1.5,702.22,293.07,6.05,,,0.8,61.58,0.43,2021-09-14,14189.0,0.0,38.0,0.0,1157.77,0.0,3.1,0.0,372.81,0.0,BDI,Africa,0.27
Cambodia,16946446.0,90.67,25.6,4.41,2.38,3645.07,270.89,4.0,2.0,33.7,0.8,69.82,0.59,2021-09-14,100790.0,657.0,2058.0,9.0,5947.56,38.77,121.44,0.53,905.32,22.13,KHM,Asia,2.04
Cameroon,27224262.0,50.88,18.8,3.16,1.92,3364.93,244.66,7.2,,,1.3,59.29,0.56,2021-09-14,84210.0,0.0,1357.0,0.0,3093.2,0.0,49.84,0.0,64.5,0.7,CMR,Africa,1.61
Canada,38067913.0,4.04,41.4,16.98,10.8,44017.59,105.6,7.37,12.0,16.6,2.5,82.43,0.93,2021-09-14,1563143.0,4014.0,27315.0,26.0,41061.96,105.44,717.53,0.68,2733.88,16.13,CAN,North America,1.75
Cape Verde,561901.0,135.58,25.7,4.46,3.44,6222.55,182.22,2.42,2.1,16.5,2.1,72.98,0.66,2021-09-14,36694.0,54.0,323.0,1.0,65303.32,96.1,574.83,1.78,4087.91,40.93,CPV,Africa,0.88
Central African Republic,4919987.0,7.48,18.3,3.66,2.25,661.24,435.73,6.1,,,1.0,53.28,0.4,2021-09-14,11309.0,0.0,100.0,0.0,2298.58,0.0,20.32,0.0,11.79,0.2,CAF,Africa,0.88
Chad,16914985.0,11.83,16.7,2.49,1.45,1768.15,281.0,6.1,,,,54.24,0.4,2021-09-14,5019.0,2.0,174.0,0.0,296.72,0.12,10.29,0.0,2.19,0.0,TCD,Africa,3.47
Chile,19212362.0,24.28,35.4,11.09,6.94,22767.04,127.99,8.46,34.2,41.5,2.11,80.18,0.85,2021-09-14,1644832.0,292.0,37253.0,0.0,85613.21,15.2,1939.01,0.0,814.06,45.44,CHL,South America,2.26
China,1444216102.0,147.67,38.7,10.64,5.93,15308.71,261.9,9.74,1.9,48.4,4.34,76.91,0.76,2021-09-14,95476.0,73.0,4636.0,0.0,66.11,0.05,3.21,0.0,0.68,0.0,CHN,Asia,4.86
Colombia,51265841.0,44.22,32.2,7.65,4.31,13254.95,124.24,7.44,4.7,13.5,1.71,77.29,0.77,2021-09-14,4932998.0,1435.0,125713.0,26.0,96223.88,27.99,2452.18,0.51,1272.52,43.97,COL,South America,2.55
Comoros,888456.0,437.35,20.4,2.96,1.73,1413.89,261.52,11.88,4.4,23.6,2.2,64.32,0.55,2021-09-14,4100.0,0.0,147.0,0.0,4614.75,0.0,165.46,0.0,69.78,0.0,COM,Africa,3.59
Congo,5657017.0,15.4,19.0,3.4,2.06,4881.41,344.09,7.2,1.7,52.3,,64.57,0.57,2021-09-14,13701.0,0.0,183.0,0.0,2421.95,0.0,32.35,0.0,60.99,0.71,COG,Africa,1.34
Costa Rica,5139053.0,96.08,33.6,9.47,5.69,15525.0,137.97,8.78,6.4,17.4,1.13,80.28,0.81,2021-09-14,496736.0,6952.0,5851.0,97.0,96659.05,1352.78,1138.54,18.88,13317.82,124.54,CRI,North America,1.18
Cote d'Ivoire,27053629.0,76.4,18.7,2.93,1.58,3601.01,303.74,2.42,,,,57.78,0.54,2021-09-14,58226.0,78.0,534.0,14.0,2152.24,2.88,19.74,0.52,222.67,6.47,CIV,Africa,0.92
Croatia,4081657.0,73.73,44.0,19.72,13.05,22669.8,253.78,5.59,34.3,39.9,5.54,78.49,0.85,2021-09-14,385056.0,974.0,8456.0,9.0,94338.16,238.63,2071.71,2.2,4418.3,42.38,HRV,Europe,2.2
Cuba,11317498.0,110.41,43.1,14.74,9.72,,190.97,8.27,17.1,53.3,5.2,78.8,0.78,2021-09-14,761060.0,7516.0,6449.0,76.0,67246.31,664.1,569.83,6.72,21505.81,214.36,CUB,North America,0.85
