iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,Cases,Deaths,incidence,mortality,fatality
OWID_WRL,World,2020-01-22,557.0,0.0,17.0,0.0,0.07,0.0,0.0,0.0,,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-01-23,655.0,98.0,18.0,1.0,0.08,0.01,0.0,0.0,3.11,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-01-24,941.0,286.0,26.0,8.0,0.12,0.04,0.0,0.0,3.28,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-01-25,1433.0,492.0,42.0,16.0,0.18,0.06,0.0,0.0,3.44,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-01-26,2118.0,685.0,56.0,14.0,0.27,0.09,0.01,0.0,3.51,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-01-27,2927.0,809.0,82.0,26.0,0.37,0.1,0.01,0.0,3.55,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-01-28,5578.0,2651.0,131.0,49.0,0.71,0.34,0.02,0.01,3.54,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-01-29,6167.0,589.0,133.0,2.0,0.78,0.08,0.02,0.0,3.23,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-01-30,8235.0,2068.0,171.0,38.0,1.05,0.26,0.02,0.0,3.02,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-01-31,9927.0,1692.0,213.0,42.0,1.26,0.22,0.03,0.0,2.81,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-02-01,12038.0,2111.0,259.0,46.0,1.53,0.27,0.03,0.01,2.67,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-02-02,16787.0,4749.0,362.0,103.0,2.13,0.6,0.05,0.01,2.57,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-02-03,19887.0,3100.0,426.0,64.0,2.52,0.39,0.05,0.01,2.35,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-02-04,23898.0,4011.0,492.0,66.0,3.04,0.51,0.06,0.01,2.13,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
OWID_WRL,World,2020-02-05,27643.0,3745.0,564.0,72.0,3.51,0.48,0.07,0.01,1.99,,,,,,,,,,,7874965732.0,58.04,30.9,8.7,5.36,15469.21,233.07,8.51,6.43,34.64,2.7,72.58,0.74,,,,,,
